 format: day,hour,forecast,value  location:60_37 Start : 20160101 
 5,1400,+37,318.000000 
 5,1400,+40,319.000000 
 5,1400,+43,326.000000 
 5,1400,+46,329.000000 
 5,1400,+49,331.000000 
 5,1700,+4,351.000000 
 5,1700,+7,354.000000 
 5,1700,+10,335.000000 
 5,1700,+13,326.000000 
 5,1700,+16,326.000000 
 5,1700,+19,326.000000 
 5,1700,+22,320.000000 
 5,1700,+25,320.000000 
 5,1700,+28,321.000000 
 5,1700,+31,318.000000 
 5,1700,+34,318.000000 
 5,1700,+37,319.000000 
 5,1700,+40,326.000000 
 5,1700,+43,329.000000 
 5,1700,+46,331.000000 
 5,2000,+4,347.000000 
 5,2000,+7,335.000000 
 5,2000,+10,329.000000 
 5,2000,+13,327.000000 
 5,2000,+16,327.000000 
 5,2000,+19,325.000000 
 5,2000,+22,321.000000 
 5,2000,+25,323.000000 
 5,2000,+28,321.000000 
 5,2000,+31,316.000000 
 5,2000,+34,314.000000 
 5,2000,+37,323.000000 
 5,2000,+40,324.000000 
 5,2000,+43,325.000000 
 5,2000,+46,319.000000 
 5,2000,+49,318.000000 
 5,2000,+52,316.000000 
 5,2000,+55,313.000000 
 5,2000,+58,310.000000 
 5,2000,+61,317.000000 
 5,2000,+64,317.000000 
 5,2000,+67,314.000000 
 5,2300,+4,335.000000 
 5,2300,+7,329.000000 
 5,2300,+10,327.000000 
 5,2300,+13,327.000000 
 5,2300,+16,325.000000 
 5,2300,+19,321.000000 
 5,2300,+22,323.000000 
 5,2300,+25,321.000000 
 5,2300,+28,316.000000 
 5,2300,+31,314.000000 
 5,2300,+34,323.000000 
 5,2300,+37,324.000000 
 5,2300,+40,325.000000 
 5,2300,+43,319.000000 
 5,2300,+46,318.000000 
 5,2300,+49,316.000000 
 5,2300,+52,313.000000 
 5,2300,+55,310.000000 
 5,2300,+58,317.000000 
 5,2300,+61,317.000000 
 5,2300,+64,314.000000 
 6,0200,+4,329.000000 
 6,0200,+7,327.000000 
 6,0200,+10,327.000000 
 6,0200,+13,325.000000 
 6,0200,+16,321.000000 
 6,0200,+19,323.000000 
 6,0200,+22,321.000000 
 6,0200,+25,316.000000 
 6,0200,+28,314.000000 
 6,0200,+31,323.000000 
 6,0200,+34,324.000000 
 6,0200,+37,325.000000 
 6,0200,+40,319.000000 
 6,0200,+43,318.000000 
 6,0200,+46,316.000000 
 6,0200,+49,313.000000 
 6,0200,+52,310.000000 
 6,0200,+55,317.000000 
 6,0200,+58,317.000000 
 6,0200,+61,314.000000 
 6,0500,+4,327.000000 
 6,0500,+7,327.000000 
 6,0500,+10,325.000000 
 6,0500,+13,321.000000 
 6,0500,+16,323.000000 
 6,0500,+19,321.000000 
 6,0500,+22,316.000000 
 6,0500,+25,314.000000 
 6,0500,+28,323.000000 
 6,0500,+31,324.000000 
 6,0500,+34,325.000000 
 6,0500,+37,319.000000 
 6,0500,+40,318.000000 
 6,0500,+43,316.000000 
 6,0500,+46,313.000000 
 6,0500,+49,310.000000 
 6,0500,+52,317.000000 
 6,0500,+55,317.000000 
 6,0500,+58,314.000000 
 6,0800,+4,331.000000 
 6,0800,+7,324.000000 
 6,0800,+10,320.000000 
 6,0800,+13,323.000000 
 6,0800,+16,333.000000 
 6,0800,+19,320.000000 
 6,0800,+22,316.000000 
 6,0800,+25,323.000000 
 6,0800,+28,325.000000 
 6,0800,+31,326.000000 
 6,0800,+34,321.000000 
 6,0800,+37,317.000000 
 6,0800,+40,314.000000 
 6,0800,+43,314.000000 
 6,0800,+46,314.000000 
 6,0800,+49,318.000000 
 6,0800,+52,319.000000 
 6,0800,+55,316.000000 
 6,1100,+4,324.000000 
 6,1100,+7,320.000000 
 6,1100,+10,323.000000 
 6,1100,+13,333.000000 
 6,1100,+16,320.000000 
 6,1100,+19,316.000000 
 6,1100,+22,323.000000 
 6,1100,+25,325.000000 
 6,1100,+28,326.000000 
 6,1100,+31,321.000000 
 6,1100,+34,317.000000 
 6,1100,+37,314.000000 
 6,1100,+40,314.000000 
 6,1100,+43,314.000000 
 6,1100,+46,318.000000 
 6,1100,+49,319.000000 
 6,1100,+52,316.000000 
 6,1400,+4,320.000000 
 6,1400,+7,323.000000 
 6,1400,+10,333.000000 
 6,1400,+13,320.000000 
 6,1400,+16,316.000000 
 6,1400,+19,323.000000 
 6,1400,+22,325.000000 
 6,1400,+25,326.000000 
 6,1400,+28,321.000000 
 6,1400,+31,317.000000 
 6,1400,+34,314.000000 
 6,1400,+37,314.000000 
 6,1400,+40,314.000000 
 6,1400,+43,318.000000 
 6,1400,+46,319.000000 
 6,1400,+49,316.000000 
 6,1700,+4,323.000000 
 6,1700,+7,333.000000 
 6,1700,+10,320.000000 
 6,1700,+13,316.000000 
 6,1700,+16,323.000000 
 6,1700,+19,325.000000 
 6,1700,+22,326.000000 
 6,1700,+25,321.000000 
 6,1700,+28,317.000000 
 6,1700,+31,314.000000 
 6,1700,+34,314.000000 
 6,1700,+37,314.000000 
 6,1700,+40,318.000000 
 6,1700,+43,319.000000 
 6,1700,+46,316.000000 
 6,2000,+4,333.000000 
 6,2000,+7,320.000000 
 6,2000,+10,316.000000 
 6,2000,+13,323.000000 
 6,2000,+16,325.000000 
 6,2000,+19,326.000000 
 6,2000,+22,321.000000 
 6,2000,+25,316.000000 
 6,2000,+28,313.000000 
 6,2000,+31,314.000000 
 6,2000,+34,314.000000 
 6,2000,+37,318.000000 
 6,2000,+40,319.000000 
 6,2000,+43,316.000000 
 6,2000,+46,313.000000 
 6,2000,+49,312.000000 
 6,2000,+52,313.000000 
 6,2000,+55,306.000000 
 6,2000,+58,305.000000 
 6,2000,+61,303.000000 
 6,2000,+64,304.000000 
 6,2000,+67,304.000000 
 6,2300,+4,320.000000 
 6,2300,+7,316.000000 
 6,2300,+10,323.000000 
 6,2300,+13,325.000000 
 6,2300,+16,326.000000 
 6,2300,+19,321.000000 
 6,2300,+22,316.000000 
 6,2300,+25,313.000000 
 6,2300,+28,314.000000 
 6,2300,+31,314.000000 
 6,2300,+34,318.000000 
 6,2300,+37,319.000000 
 6,2300,+40,316.000000 
 6,2300,+43,313.000000 
 6,2300,+46,312.000000 
 6,2300,+49,313.000000 
 6,2300,+52,306.000000 
 6,2300,+55,305.000000 
 6,2300,+58,303.000000 
 6,2300,+61,304.000000 
 6,2300,+64,304.000000 
 7,0200,+4,316.000000 
 7,0200,+7,323.000000 
 7,0200,+10,325.000000 
 7,0200,+13,326.000000 
 7,0200,+16,321.000000 
 7,0200,+19,316.000000 
 7,0200,+22,313.000000 
 7,0200,+25,314.000000 
 7,0200,+28,314.000000 
 7,0200,+31,318.000000 
 7,0200,+34,319.000000 
 7,0200,+37,316.000000 
 7,0200,+40,313.000000 
 7,0200,+43,312.000000 
 7,0200,+46,313.000000 
 7,0200,+49,306.000000 
 7,0200,+52,305.000000 
 7,0200,+55,303.000000 
 7,0200,+58,304.000000 
 7,0200,+61,304.000000 
 7,0500,+4,323.000000 
 7,0500,+7,325.000000 
 7,0500,+10,326.000000 
 7,0500,+13,321.000000 
 7,0500,+16,316.000000 
 7,0500,+19,313.000000 
 7,0500,+22,314.000000 
 7,0500,+25,314.000000 
 7,0500,+28,318.000000 
 7,0500,+31,319.000000 
 7,0500,+34,316.000000 
 7,0500,+37,313.000000 
 7,0500,+40,312.000000 
 7,0500,+43,313.000000 
 7,0500,+46,306.000000 
 7,0500,+49,305.000000 
 7,0500,+52,303.000000 
