date,price
2019.03.12,57
2019.03.13,58
2019.03.14,59
2019.03.15,59
2019.03.18,59
2019.03.19,59
2019.03.20,60
2019.03.21,60
2019.03.22,59
2019.03.25,59
2019.03.26,60
2019.03.27,59
2019.03.28,59
2019.03.29,60
2019.04.01,62
2019.04.02,63
2019.04.03,62
2019.04.04,62
2019.04.05,63
2019.04.08,64
2019.04.09,64
2019.04.10,65
2019.04.11,64
2019.04.12,64
2019.04.15,63
2019.04.16,64
2019.04.17,64
2019.04.18,64
2019.04.22,66
2019.04.23,66
2019.04.24,66
2019.04.25,65
2019.04.26,63
2019.04.29,64
2019.04.30,64
2019.05.01,64
2019.05.02,62
2019.05.03,62
2019.05.06,62
2019.05.07,61
2019.05.08,62
2019.05.09,62
2019.05.10,62
2019.05.13,61
2019.05.14,62
2019.05.15,62
2019.05.16,63
2019.05.17,63
2019.05.20,63
2019.05.21,63
2019.05.22,61
2019.05.23,58
2019.05.24,59
2019.05.28,59
2019.05.29,59
2019.05.30,57
2019.05.31,54
2019.06.03,53
2019.06.04,53
2019.06.05,52
2019.06.06,53
2019.06.07,54
2019.06.10,53
2019.06.11,53
2019.06.12,51
2019.06.13,52
2019.06.14,53
2019.06.17,52
2019.06.18,54
2019.06.19,54
2019.06.20,57
2019.06.21,57
2019.06.24,58
2019.06.25,58
2019.06.26,59
2019.06.27,59
2019.06.28,58
2019.07.01,59
2019.07.02,56
2019.07.03,57
2019.07.05,58
2019.07.08,58
2019.07.09,58
